CIRCUIT1  Circuit1
INPUT  1 1
INPUT  2 2
INPUT  3 3
INPUT  4 4
INPUT  5 5
INPUT  6 6
INPUT  7 7
INPUT  8 8
INPUT  11 11
INPUT  14 14
INPUT  15 15
INPUT  16 16
INPUT  19 19
INPUT  20 20
INPUT  21 21
INPUT  22 22
INPUT  23 23
INPUT  24 24
INPUT  25 25
INPUT  26 26
INPUT  27 27
INPUT  28 28
INPUT  29 29
INPUT  32 32
INPUT  33 33
INPUT  34 34
INPUT  35 35
INPUT  36 36
INPUT  37 37
INPUT  40 40
INPUT  43 43
INPUT  44 44
INPUT  47 47
INPUT  48 48
INPUT  49 49
INPUT  50 50
INPUT  51 51
INPUT  52 52
INPUT  53 53
INPUT  54 54
INPUT  55 55
INPUT  56 56
INPUT  57 57
INPUT  60 60
INPUT  61 61
INPUT  62 62
INPUT  63 63
INPUT  64 64
INPUT  65 65
INPUT  66 66
INPUT  67 67
INPUT  68 68
INPUT  69 69
INPUT  72 72
INPUT  73 73
INPUT  74 74
INPUT  75 75
INPUT  76 76
INPUT  77 77
INPUT  78 78
INPUT  79 79
INPUT  80 80
INPUT  81 81
INPUT  82 82
INPUT  85 85
INPUT  86 86
INPUT  87 87
INPUT  88 88
INPUT  89 89
INPUT  90 90
INPUT  91 91
INPUT  92 92
INPUT  93 93
INPUT  94 94
INPUT  95 95
INPUT  96 96
INPUT  99 99
INPUT  100 100
INPUT  101 101
INPUT  102 102
INPUT  103 103
INPUT  104 104
INPUT  105 105
INPUT  106 106
INPUT  107 107
INPUT  108 108
INPUT  111 111
INPUT  112 112
INPUT  113 113
INPUT  114 114
INPUT  115 115
INPUT  116 116
INPUT  117 117
INPUT  118 118
INPUT  119 119
INPUT  120 120
INPUT  123 123
INPUT  124 124
INPUT  125 125
INPUT  126 126
INPUT  127 127
INPUT  128 128
INPUT  129 129
INPUT  130 130
INPUT  131 131
INPUT  132 132
INPUT  135 135
INPUT  136 136
INPUT  137 137
INPUT  138 138
INPUT  139 139
INPUT  140 140
INPUT  141 141
INPUT  142 142
INPUT  143 143
INPUT  144 144
INPUT  145 145
INPUT  146 146
INPUT  147 147
INPUT  148 148
INPUT  149 149
INPUT  150 150
INPUT  151 151
INPUT  152 152
INPUT  153 153
INPUT  154 154
INPUT  155 155
INPUT  156 156
INPUT  157 157
INPUT  158 158
INPUT  159 159
INPUT  160 160
INPUT  161 161
INPUT  162 162
INPUT  163 163
INPUT  164 164
INPUT  165 165
INPUT  166 166
INPUT  167 167
INPUT  168 168
INPUT  169 169
INPUT  170 170
INPUT  171 171
INPUT  172 172
INPUT  173 173
INPUT  174 174
INPUT  175 175
INPUT  176 176
INPUT  177 177
INPUT  178 178
INPUT  179 179
INPUT  180 180
INPUT  181 181
INPUT  182 182
INPUT  183 183
INPUT  184 184
INPUT  185 185
INPUT  186 186
INPUT  187 187
INPUT  188 188
INPUT  189 189
INPUT  190 190
INPUT  191 191
INPUT  192 192
INPUT  193 193
INPUT  194 194
INPUT  195 195
INPUT  196 196
INPUT  197 197
INPUT  198 198
INPUT  199 199
INPUT  200 200
INPUT  201 201
INPUT  202 202
INPUT  203 203
INPUT  204 204
INPUT  205 205
INPUT  206 206
INPUT  207 207
INPUT  208 208
INPUT  209 209
INPUT  210 210
INPUT  211 211
INPUT  212 212
INPUT  213 213
INPUT  214 214
INPUT  215 215
INPUT  216 216
INPUT  217 217
INPUT  218 218
INPUT  219 219
INPUT  224 224
INPUT  227 227
INPUT  230 230
INPUT  231 231
INPUT  234 234
INPUT  237 237
